id,body
1215726143766007808,@RBC made 12.9 billion in 2019. RBC has the worst support team. I couldn't even get reimbursed for a double charge… https://t.co/w0JjjOdBYe
1215726086358614017,@FlooritHammer @sorhay_posada @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade… https://t.co/AuxF52z7Ss
1215725669189148675,@MdNtTkr @doughoyes @ScottTerrioHMA @TD_Canada @RBC Still has some room to play with toggling between credit cards… https://t.co/jKm6GpXffc
1215723784814170113,@BriefTake @TFCA @RBC @rickmercer @cameron_tiff Thank you so very much 🙏🏾✊🏾🤓
1215723029310967808,@annebrodie @TFCA @RBC @rickmercer @cameron_tiff Thanks Anne! We shall party twice as hard at the next one!🎉🎊
1215722554364760066,@jrkinnard @TFCA @RBC @rickmercer @cameron_tiff Thank you J.R.!
1215721243367870468,Tap into @RBC's 200 dedicated Franchise Specialists across Canada to access in-depth industry knowledge and support… https://t.co/eXtuiv4iUW
1215717791006969858,"RT @CJusticeTO: @jjhorgan @JustinTrudeau @theJagmeetSingh @RBC RBC, headquartered here, serves as the exclusive financial advisor to the CG…"
1215717421690036224,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co Shareholde…
1215717408821989378,"RT @CJusticeTO: BREAKING: In case you missed it, 29 youth just occupied the offices of the prime financiers of the $6.6 billion Coastal Gas…"
1215717379541471232,@RBC hi when i call your support services to get help i expect at least bare minimum human decency instead of being… https://t.co/jrx3cZwkeY
1215717110145523712,RT @sorhay_posada: @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade @TDAmeritradePR @KKR_Co @PwC @PwC_…
1215717079048802305,"RT @xRebelCanada: $46B in bonuses to bank executives?!

Particularly egregious when the Cdn banking system (@RBC, @tdcanadatrust, @cibc, @s…"
1215715965578514432,@sorhay_posada @ringerzinger1 @BlackburnSarnia @mjarlette @MsAmyMacPherson @FINRA @RBC @TDAmeritrade… https://t.co/2fwAjglgfI
1215713962215473152,RT @WESTofWindsor: Another successful Meet and Greet event @WESTofWindsor with Intake 3 VMNW participants! Special thank you to Amanda Ward…
